id_review,name,review,rate
385.0,Dian,harga kualitas fungsi,5
386.0,akbar miladi,Mantap,5
387.0,Singgih Adhimantoro,Biarkan bintang yang berbicara,5
388.0,Taufik,sesuai dng Harga,5
389.0,Puput Olshop,"harga bersahabat
kualitas mantap
fungsi Ok dan sesuai dengan harapan
produk elektronik kereeeen dan inovatif....",5
390.0,Ahmad Raihan,Bagus kualitas,5
391.0,Diky Virmansyah,Mantaps,5
392.0,Nur Rohman,fungsi kualitas harga produk,5
393.0,daffa yazdan,sesuai deh pokok nya,5
394.0,hagni surendro,"Terima kasih gan, paket sudah terima dengan baik",5
395.0,wangad saefudin,"gile murah barang bagus,, 2a cepet buat cas... mantap..",5
396.0,Rasent,"Barang bagus, semoga awet smw barangnya...",5
397.0,hafid setiawan,"Cepat sampai nya barang sesuai pesanan, trims",5
398.0,Ratih Ayu Pratiwi,mantap 2ampere. sip .murah. tp brkualitas,5
399.0,ardiyanto,Lumayan untuk harga yg relatif murah,5
400.0,imam,batok charger bagus sesuai dgn iklan,5
401.0,curut langu,"Biar bintang yg berbicara, keren deh pokoknya",5
